Category,Form No.,MOR Ref.,Report Title,Frequency,Submission Deadline,Submission Procedure / E-mail Address
,,,8b to 8b3 - Unquoted Debt Securities Classified as Loans Classified as to Status,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,8c to 8c3 - Unquoted Debt Securities Classified as Loans Movements in Allowances for Credit Losses,Annually,15 banking days after end of reference year,sdcrb-frp@bsp.gov.ph
,,,9 - Investment in Non-Marketable Equity Securities,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,10 - Interbank Loans Receivables,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,11 - Loans and Receivables – Others,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,11a to 11a3 - Loans and Receivables – Others Classified as to Status,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,11b to 11b3 - Restructured Loans and Receivables Classified as to Status,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,11c to 11c3 - Loans and Receivables – Others Movements in Allowances for Credit Losses,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,11d to 11d3 - Gross Loans and Receivables – Others Classified as to Type of Business/Industry of Counterparty,Monthly,15 banking days after end of reference month,sdcrb-frp@bsp.gov.ph
,,,11e to 11e3 - Loans and Receivables – Others Classified as to Status Per PAS 39,Annually,15 banking days after end of reference year,sdcrb-frp@bsp.gov.ph
,,,"11f - Schedule of Agri/Agra SME, DIL and Microfinance Loans and Receivables Under Schedule 11 Classified as to Counterparty",Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"12 - Loans and Receivables Arising from Repurchase Agreements, Certificates of Assignment/Participation with Recourse and Securities Lending and Borrowing Transactions",Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"12a to 12a3 - Loans and Receivables Arising from Repurchase Agreements, Certificates of Assignment/Participation with Recourse and Securities Lending and Borrowing Transactions Matrix of Counterparty and Issuer of Collateral Securities",Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,13 - Fair Value Adjustments in Hedge Accounting,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,13a - Derivatives Held for Fair Value Hedge,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,13b - Derivatives Held for Cash Flow Hedge,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,13c - Derivatives Held for Hedges of Net Investment in Foreign Operations,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,13d - Derivatives Held for Portfolio Hedge of Interest Rate Risk (Marked to Market Amount),Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,14 - Accrued Interest Income/Expense from Financial Assets and Liabilities,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"15 - Equity Investment in Subsidiaries, Associates and Joint Ventures",Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"15a - Investment in Subsidiaries, Associates and Joint Arrangements - Classified as to Nature of Business",Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"15b - Details of Equity Investment in Subsidiaries, Associates and Joint Ventures",Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"16 - Bank Premises, Furniture, Fixture and Equipment",Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,17 - Real and Other Properties Acquired / Non-Current Assets Held for Sale,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,17a - Aging of ROPA and NCAHS Accounts,Annually,15 banking days after end of reference year,sdcrb-frp@bsp.gov.ph
,,,17b - Movement in ROPA and NCAHS,Annually,15 banking days after end of reference year,sdcrb-frp@bsp.gov.ph
,,,18 - Schedule of Tax Assets and Liabilities,Annually,15 banking days after end of reference year,sdcrb-frp@bsp.gov.ph
,,,19 - Other Assets,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,20 - Breakdown of Due from and Due to Head Office / Branches / Agencies Abroad - Philippine Branch of a Foreign Bank,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,21 - Liability for Short Position,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,22 - Deposit Liabilities Classified as to Type of Deposit,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,22a - Deposit Liabilities by Size of Accounts Excluding Deposits in Foreign Offices / Branches,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,23 - Due to Other Banks,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,24 - Bills Payable,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"25 - Bonds Payable, Unsecured Subordinated Debt and Redeemable Preferred Shares",Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,26 - Fair Value of Financial Liabilities,Annually,15 banking days after end of reference year,sdcrb-frp@bsp.gov.ph
,,,27 - Financial Liabilities Associated with Transferred Assets,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,28 - Other Liabilities,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,29 - Interest Income/Expense from Financial Instruments,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,29a - Interest Income from Due from Other Banks Classified as to Type of Deposits,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"29b - Interest Income from Held for Trading, Designated at FVPL, Available for Sale, Held to Maturity Financial Assets and Unquoted Debt Securities Classified as Loans",Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,29c - Interest Income from Interbank Loans Receivables,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,29d to 29d3 - Interest Income from Loans and Receivables - Others - Classified as to Status,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"29e - Interest Income from Loans and Receivables Arising from Repurchase Agreements, Certificates of Assignment/Participation with Recourse and Securities Lending and Borrowing Transactions",Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,30a - Interest Expense on Deposit Liabilities Classified as to Type of Deposit,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,30b - Interest Expense on Bills Payable,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"30c - Interest Expense on Bonds Payable, Unsecured Subordinated Debt and Redeemable Preferred Shares",Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,31 - Dividend Income,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,32 - Gains/(Losses) on Financial Assets and Liabilities Held for Trading,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,33 - Gains/(Losses) from Sale/Redemption/Derecognition of Non-Trading Financial Assets and Liabilities,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,34 - Compensation/Fringe Benefits,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,35 - Other Administrative Expenses,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,36 - Depreciation/Amortization Expense,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,37 - Impairment Loss,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,38 - Off-Balance Sheet,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"38a, 38a1, 38a3 & 38a4 - Report by the PERA Administrator on Personal Equity and Retirement Account",Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,39 & 39a - Residual Maturity Performing Financial Assets and Financial Liabilities,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,40 & 40a - Repricing - Performing Financial Assets and Financial Liabilities,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,41 - Investment in Debt Instruments Issued by LGUs and Loans Granted to LGUs,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,42 - Disclosure of Due From FCDU/RBU and Due To FCDU/RBU,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,Schedules (Consolidated Report):,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,1 - Checks and Other Cash Items,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,2 - Due from Other Banks,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,3 - Financial Assets Held for Trading,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"3a - Breakdown of Held for Trading (HFT) Financial Assets Purchased/Sold/Lent Under Repurchase Agreements, Certificates of Assignment/Participation with Recourse, Securities Lending and Borrowing Agreements",Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,4 - Derivatives Held for Trading (HFT),Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,4a - Derivatives Held for Trading Matrix of Counterparty and Type of Derivative Contracts,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,5 - Financial Assets Designated at Fair Value through Profit or Loss,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,6 - Available-for-Sale Financial Assets,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"6a - Breakdown of Available-for-Sale Financial Assets Purchased/Sold/Lent Under Repurchase Agreements, Certificates of Assignment/Participation with Recourse, Securities Lending and Borrowing Agreements",Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,6b - Available-for-Sale Financial Assets - Classified as to Status,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,6c - Available-for-Sale Financial Assets Movements in Allowances for Credit Losses,Annually,30th banking day after end of reference year,sdcrb-frp@bsp.gov.ph
,,,7 - Held to Maturity (HTM) Financial Asset,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"7a - Breakdown of Held to Maturity Financial Assets Purchased/Sold/Lent Under Repurchase Agreements, Certificates of Assignment/Participation with Recourse, Securities Lending and Borrowing Agreements",Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,7b - Fair Value of Held to Maturity (HTM) Financial Assets,Annually,30th banking day after end of reference year,sdcrb-frp@bsp.gov.ph
,,,7c - Held to Maturity Financial Assets Classified as to Status,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,7d - Held to Maturity Financial Assets Movements in Allowances for Credit Losses,Annually,30th banking day after end of reference year,sdcrb-frp@bsp.gov.ph
,,,8 - Unquoted Debt Securities Classified as Loans,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,8a - Fair Value of Unquoted Debt Securities Classified as to Status,Annually,30th banking day after end of reference year,sdcrb-frp@bsp.gov.ph
,,,8b - Unquoted Debt Securities Classified as Loans Classified as to Status,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,8c - Unquoted Debt Securities Classified as Loans Movements in Allowances for Credit Loans,Annually,30th banking day after end of reference year,sdcrb-frp@bsp.gov.ph
,,,9 - Investment in Non-Marketable Equity Securities,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,10 - Interbank Loans Receivables,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,11 - Loans and Receivables – Others,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,11a - Loans and Receivables – Others Classified as to Status,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,11b - Restructured Loans and Receivables Classified as to Status,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,11c - Loans and Receivables – Others Movements in Allowances for Credit Losses,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,11d - Gross Loans and Receivables – Others Classified as to Type of Business/Industry of Counterparty,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,11e - Loans and Receivables – Others Classified as to Status per PAS 39,Annually,30th banking day after end of reference year,sdcrb-frp@bsp.gov.ph
,,,"11f - Schedule of Agri/Agra, Microfinance and SME Loans and Receivables Classified as to Counterparty",Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"12 - Loans and Receivables Arising from Repurchase Agreements, Certificates of Assignment/Participation with Recourse and Securities Lending and Borrowing Transactions",Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"12a - Loans and Receivables Arising from Repurchase Agreements, Certificates of Assignment/Participation with Recourse and Securities Lending and Borrowing Transactions Matrix of Counterparty and Issuer of Collateral Securities",Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,13 - Fair Value Adjustments in Hedge Accounting,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,13a - Derivatives Held for Fair Value Hedge,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,13b - Derivatives Held for Cash Flow Hedge,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,13c - Derivatives Held for Hedges of Net Investment in Foreign Operations,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,13d - Derivatives Held for Portfolio Hedge of Interest Rate Risk (Marked to Market Amount),Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,14 - Accrued Interest Income/Expense from Financial Assets and Liabilities,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"15 - Equity Investment in Subsidiaries, Associates and Joint Ventures",Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"15a - Equity Investment in Subsidiaries, Associates and Joint Arrangements - Classified as to Nature of Business",Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"15b - Details of Equity Investment in Subsidiaries, Associates and Joint Ventures",Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"16 - Bank Premises, Furniture, Fixture and Equipment",Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,17 - Real and Other Properties Acquired / Non-Current Assets Held for Sale,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,17a - Aging of ROPA and NCAHS Accounts,Annually,30th banking day after end of reference year,sdcrb-frp@bsp.gov.ph
,,,17b - Movements in ROPA and NCAHS Accounts,Annually,30th banking day after end of reference year,sdcrb-frp@bsp.gov.ph
,,,18 - Schedule of Tax Assets and Liabilities,Annually,30th banking day after end of reference year,sdcrb-frp@bsp.gov.ph
,,,19 - Other Assets,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,20 - Breakdown of Due from and Due to Head Office / Branches / Agencies Abroad - Philippine Branch of a Foreign Bank,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,21 - Liability for Short Position,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,22 - Deposit Liabilities Classified as to Type of Deposit,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,22a - Deposit Liabilities by Size of Accounts Excluding Deposits in Foreign Offices / Branches,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,23 - Due to Other Banks,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,24 - Bills Payable,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"25 - Bonds Payable, Unsecured Subordinated Debt and Redeemable Preferred Shares",Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,26 - Fair Value of Financial Liabilities,Annually,30th banking day after end of reference year,sdcrb-frp@bsp.gov.ph
,,,27 - Financial Liabilities Associated with Transferred Assets,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,28 - Other Liabilities,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,29 - Interest Income/Expense from Financial Instruments,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,29a - Interest Income from Due from Other Banks Classified as to Type of Deposits,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"29b - Interest Income from Held for Trading, Designated at FVPL, Available for Sale, Held to Maturity Financial Assets and Unquoted Debt Securities Classified as Loans",Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,29c - Interest Income from Interbank Loans Receivables,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,29d - Interest Income from Loans and Receivables - Others - Classified as to Status,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"29e - Interest Income from Loans and Receivables Arising from Repurchase Agreements, Certificates of Assignment/Participation with Recourse and Securities Lending and Borrowing Transactions",Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,30a - Interest Expense on Deposit Liabilities,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,30b - Interest Expense on Bills Payable,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"30c - Interest Expense on Bonds Payable, Unsecured Subordinated Debt and Redeemable Preferred Shares",Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,31 - Dividend Income,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,32 - Gains/(Losses) on Financial Assets and Liabilities Held for Trading,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,33 - Gains/(Losses) from Sale/Redemption/Derecognition of Non-Trading Financial Assets and Liabilities,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,34 - Compensation/Fringe Benefits,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,35 - Other Administrative Expenses,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,36 - Depreciation/Amortization Expense,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,37 - Impairment Loss,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,38 - Off-Balance Sheet,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"38a, 38a1, 38a3 & 38a4 - Report by the PERA Administrator on Personal Equity and Retirement Account",Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,39 - Residual Maturity Performing Financial Assets and Financial Liabilities,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,40 - Repricing - Performing Financial Assets and Financial Liabilities,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,41 - Investment in Debt Instruments Issued by LGUs and Loans Granted to LGUs,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,42 - Disclosure of Due From FCDU/RBU and Due To FCDU/RBU,Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"Simplified Financial Reporting (FRP) - For RBs with less complex operations (without FCDU authority, derivatives transactions, and financial allied subsidiaries)",,,
,,,Balance Sheet (FRP) - Solo basis (head office and branches),Quarterly,15th banking day after end of reference quarter,cc: Mail-SDC
,,,Income Statement (FRP) - Solo basis (head office and branches),Quarterly,15th banking day after end of reference quarter,cc: Mail-SDC
,,,Schedules (Solo Report):,,,
,,,1 - Checks and Other Cash Items (COCI),Quarterly,15th banking day after end of reference quarter,cc: Mail-SDC
,,,2 - Due from Other Banks Classified as to Type of Deposit,Quarterly,15th banking day after end of reference quarter,cc: Mail-SDC
,,,6 - Available-for-Sale Financial Assets,Quarterly,15th banking day after end of reference quarter,cc: Mail-SDC
,,,6b1 - Available-for-Sale Financial Assets Classified as to Status - Peso Accounts,Quarterly,15th banking day after end of reference quarter,cc: Mail-SDC
,,,7 - Held to Maturity Financial Assets,Quarterly,15th banking day after end of reference quarter,cc: Mail-SDC
,,,7c1 - Held to Maturity Financial Assets Classified as to Status - Peso Accounts,Quarterly,15th banking day after end of reference quarter,cc: Mail-SDC
,,,8 - Unquoted Debt Securities Classified as Loans,Quarterly,15th banking day after end of reference quarter,cc: Mail-SDC
,,,8b1 - Unquoted Debt Securities Classified as Loans Classified as to Status - Peso Accounts,Quarterly,15th banking day after end of reference quarter,cc: Mail-SDC
,,,9 - Investment in Non-Marketable Equity Securities,Quarterly,15th banking day after end of reference quarter,cc: Mail-SDC
,,,10 - Interbank Loans Receivables,Quarterly,15th banking day after end of reference quarter,cc: Mail-SDC
,,,11 - Loans and Receivables – Others,Quarterly,15th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,11a1 - Loans and Receivables – Others Classified as to Status - Peso Accounts,Quarterly,15th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,11b1 - Restructured Loans and Receivables Classified as to Status - Peso Accounts,Quarterly,15th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,11c1 - Loans and Receivables – Others Movements of Allowances for Credit Losses - Peso Accounts,Quarterly,15th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,11d1 - Loans and Receivables – Others (At Amortized Cost) - Peso Accounts,Quarterly,15th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,11e1 - Loans and Receivables – Others Classified as to Status per PAS 39 – Peso Accounts (For Annual Submission),Annually,15th banking day after end of reference year,sdcrb-frp@bsp.gov.ph
,,,"11f - Schedule of Agri/Agra, SME, DIL and Microfinance Loans and Receivables under Schedule 11 - Classified as to Counterparty",Quarterly,15th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"12 - Loans and Receivables Arising from Repurchase Agreements, Certificates of Assignment/Participation with Recourse and Securities Lending and Borrowing Transactions - By Counterparty",Quarterly,15th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,12a1 - Loans and Receivables Arising from Repurchase Agreements and Securities Lending and Borrowing Transactions Matrix of Counterparty and Issuer of Collateral Securities - Peso Accounts,Quarterly,15th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,14 - Accrued Interest Income/Expense from Financial Assets and Liabilities,Quarterly,15th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"15 - Equity Investment in Subsidiaries, Associates and Joint Ventures",Quarterly,15th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"15a - Equity Investment in Subsidiaries, Associates and Joint Ventures – Classified as to Nature of Business",Quarterly,15th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"15b - Details of Equity Investment in Subsidiaries, Associates and Joint Ventures",Quarterly,15th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"16 - Bank Premises, Furniture, Fixture and Equipment",Quarterly,15th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,17 - Real and Other Properties Acquired / Non-Current Assets Held for Sale,Quarterly,15th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,17a - Aging of ROPA and NCAHS Accounts,Annually,15th banking day after end of reference year,sdcrb-frp@bsp.gov.ph
